#OTU ID	Callimicos	WartyPig	Baboon	Chimp	Gorilla	Orangutan	Saki	Urial	Colobus	RingTailedLemur	Giraffe	Okapi	BigHornSheep	Gazelle	Lion	PolarBear	Springbok	BlackLemur	BushDog	Hyena	SpectacledBear	BlackBear
otu131	8	0	0	8	1	1	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
otu132	0	0	4	1	1	2	0	4	0	0	1	11	12	6	0	0	0	0	0	0	0	0
otu133	0	0	0	0	5	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0
otu134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	16	0	0	0
otu135	0	0	0	0	0	0	0	15	0	0	0	1	16	16	0	0	0	0	0	0	0	0
otu136	0	0	0	0	0	0	0	1	0	0	14	2	2	24	0	0	0	0	0	0	0	0
otu137	0	0	0	0	0	0	0	9	0	0	0	0	40	0	0	0	0	0	0	0	0	0
otu138	0	0	27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu139	0	0	0	16	1	1	13	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
otu140	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0
otu141	0	0	27	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu142	0	0	0	1	2	2	16	0	3	0	0	0	0	0	0	0	0	5	0	0	0	0
otu143	0	0	0	0	1	0	18	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0
otu144	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
otu146	0	0	0	0	1	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0
otu148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
otu149	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
otu150	0	0	0	6	23	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
otu151	0	0	0	0	0	0	0	12	0	0	0	1	32	0	0	0	0	0	0	0	0	0
otu152	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	7	0	0
otu153	0	0	0	1	1	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	10	0	0
otu155	0	0	0	0	5	2	9	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0
otu156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0
otu157	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	0	0
otu158	0	10	0	0	0	0	0	0	0	23	0	1	0	0	0	0	0	0	0	0	0	0
otu159	0	0	0	0	0	0	0	7	0	0	7	5	9	5	0	0	6	0	0	0	0	0
otu160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
otu161	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu162	0	0	0	2	0	3	20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
otu163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0
otu164	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
otu166	0	0	5	5	6	2	4	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0
otu167	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu168	0	0	0	0	0	0	0	7	0	0	2	1	30	0	0	0	0	0	0	0	0	0
otu169	0	0	23	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu170	0	24	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu171	0	2	0	22	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
otu172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
otu173	0	0	3	0	0	0	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0
otu174	0	0	3	4	0	4	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
otu175	0	0	0	0	0	0	0	3	0	0	1	33	0	0	0	0	0	0	0	0	0	0
otu176	0	0	0	0	0	0	0	7	0	0	0	10	6	13	0	0	1	0	0	0	0	0
otu177	0	0	0	20	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu178	12	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0
otu179	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
otu180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	11	0	0
otu181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
otu182	0	0	0	0	0	0	0	0	2	28	0	0	0	0	0	0	0	0	0	0	0	0
otu183	0	1	0	1	2	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu184	0	0	0	3	6	1	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
otu185	0	0	0	1	0	2	20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
otu186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	7	4	0	0
otu187	0	0	0	0	0	0	0	26	0	0	0	1	1	6	0	0	5	0	0	0	0	0
otu188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	16	0	0
otu189	0	0	0	0	0	0	0	1	0	0	7	0	0	23	0	0	3	0	0	0	0	0
otu190	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0
otu191	0	2	0	12	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	5	6	0	1
otu193	6	0	0	1	0	0	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
otu194	0	0	0	0	0	0	0	23	0	0	1	13	0	1	0	0	0	0	0	0	0	0
otu195	0	0	0	9	0	2	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
otu196	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
otu198	0	0	0	20	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
otu199	0	0	0	0	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	0
otu200	0	0	0	0	0	0	0	3	0	0	6	1	11	2	0	0	9	0	0	0	0	0
otu201	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
otu202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0
otu203	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu204	0	0	0	6	4	2	0	0	10	2	0	0	0	0	0	0	0	0	0	0	0	0
otu205	0	0	0	0	0	0	0	15	0	0	4	0	1	13	0	0	0	0	0	0	0	0
otu206	0	0	0	0	0	0	0	17	0	0	2	0	16	0	0	0	0	0	0	0	0	0
otu207	0	0	0	3	0	8	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
otu208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
otu209	0	0	0	4	6	1	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
otu210	0	0	0	0	0	0	0	14	0	0	2	9	9	0	0	0	0	0	0	0	0	0
otu211	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0
otu212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
otu213	0	0	0	0	7	1	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
otu214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0
otu215	0	0	0	0	2	2	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu216	0	0	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu217	0	0	0	2	10	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu218	0	0	0	0	0	0	0	4	0	0	18	6	0	0	0	0	1	0	0	0	0	0
otu219	0	0	0	0	0	0	0	7	0	0	0	5	12	5	0	0	2	0	0	0	0	0
otu220	0	0	6	2	3	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
otu221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0
otu222	0	0	0	0	0	0	0	4	0	0	13	11	0	0	0	0	0	0	0	0	0	0
